Phase,Y_mean,Z_mean
0.0000,0.0400,-0.0451
0.0050,0.0398,-0.0457
0.0100,0.0396,-0.0462
0.0150,0.0394,-0.0467
0.0200,0.0392,-0.0473
0.0250,0.0391,-0.0478
0.0300,0.0389,-0.0483
0.0350,0.0386,-0.0489
0.0400,0.0382,-0.0494
0.0450,0.0378,-0.0500
0.0500,0.0374,-0.0505
0.0550,0.0370,-0.0510
0.0600,0.0366,-0.0516
0.0650,0.0361,-0.0522
0.0700,0.0356,-0.0527
0.0750,0.0350,-0.0533
0.0800,0.0345,-0.0538
0.0850,0.0339,-0.0544
0.0900,0.0333,-0.0549
0.0950,0.0327,-0.0554
0.1010,0.0321,-0.0559
0.1060,0.0314,-0.0563
0.1110,0.0307,-0.0566
0.1160,0.0300,-0.0569
0.1210,0.0293,-0.0572
0.1260,0.0286,-0.0575
0.1310,0.0279,-0.0578
0.1360,0.0272,-0.0580
0.1410,0.0266,-0.0581
0.1460,0.0259,-0.0582
0.1510,0.0252,-0.0583
0.1560,0.0245,-0.0584
0.1610,0.0238,-0.0584
0.1660,0.0231,-0.0584
0.1710,0.0224,-0.0584
0.1760,0.0217,-0.0584
0.1810,0.0210,-0.0584
0.1860,0.0204,-0.0583
0.1910,0.0197,-0.0583
0.1960,0.0190,-0.0582
0.2010,0.0183,-0.0581
0.2060,0.0176,-0.0580
0.2110,0.0169,-0.0579
0.2160,0.0162,-0.0578
0.2210,0.0155,-0.0577
0.2260,0.0148,-0.0576
0.2310,0.0141,-0.0575
0.2360,0.0134,-0.0574
0.2410,0.0127,-0.0573
0.2460,0.0120,-0.0572
0.2510,0.0112,-0.0571
0.2560,0.0105,-0.0570
0.2610,0.0098,-0.0570
0.2660,0.0091,-0.0569
0.2710,0.0084,-0.0568
0.2760,0.0077,-0.0567
0.2810,0.0070,-0.0566
0.2860,0.0063,-0.0566
0.2910,0.0056,-0.0565
0.2960,0.0049,-0.0564
0.3020,0.0042,-0.0564
0.3070,0.0035,-0.0564
0.3120,0.0028,-0.0563
0.3170,0.0021,-0.0563
0.3220,0.0013,-0.0563
0.3270,0.0006,-0.0563
0.3320,-0.0001,-0.0563
0.3370,-0.0008,-0.0563
0.3420,-0.0015,-0.0563
0.3470,-0.0022,-0.0563
0.3520,-0.0029,-0.0564
0.3570,-0.0036,-0.0564
0.3620,-0.0043,-0.0565
0.3670,-0.0050,-0.0565
0.3720,-0.0057,-0.0566
0.3770,-0.0064,-0.0567
0.3820,-0.0071,-0.0568
0.3870,-0.0078,-0.0568
0.3920,-0.0085,-0.0569
0.3970,-0.0092,-0.0570
0.4020,-0.0100,-0.0572
0.4070,-0.0107,-0.0573
0.4120,-0.0114,-0.0574
0.4170,-0.0121,-0.0575
0.4220,-0.0128,-0.0576
0.4270,-0.0135,-0.0578
0.4320,-0.0142,-0.0579
0.4370,-0.0149,-0.0580
0.4420,-0.0157,-0.0582
0.4470,-0.0164,-0.0583
0.4520,-0.0171,-0.0584
0.4570,-0.0178,-0.0585
0.4620,-0.0185,-0.0587
0.4670,-0.0192,-0.0588
0.4720,-0.0199,-0.0589
0.4770,-0.0206,-0.0590
0.4820,-0.0212,-0.0591
0.4870,-0.0219,-0.0592
0.4920,-0.0225,-0.0593
0.4970,-0.0231,-0.0594
0.5030,-0.0237,-0.0595
0.5080,-0.0242,-0.0596
0.5130,-0.0247,-0.0597
0.5180,-0.0252,-0.0597
0.5230,-0.0256,-0.0598
0.5280,-0.0260,-0.0598
0.5330,-0.0264,-0.0598
0.5380,-0.0267,-0.0598
0.5430,-0.0270,-0.0598
0.5480,-0.0273,-0.0599
0.5530,-0.0274,-0.0598
0.5580,-0.0275,-0.0598
0.5630,-0.0275,-0.0597
0.5680,-0.0276,-0.0597
0.5730,-0.0275,-0.0596
0.5780,-0.0275,-0.0595
0.5830,-0.0273,-0.0594
0.5880,-0.0271,-0.0592
0.5930,-0.0269,-0.0591
0.5980,-0.0266,-0.0589
0.6030,-0.0263,-0.0587
0.6080,-0.0259,-0.0585
0.6130,-0.0255,-0.0583
0.6180,-0.0250,-0.0580
0.6230,-0.0244,-0.0577
0.6280,-0.0239,-0.0574
0.6330,-0.0233,-0.0571
0.6380,-0.0226,-0.0568
0.6430,-0.0219,-0.0565
0.6480,-0.0212,-0.0561
0.6530,-0.0204,-0.0558
0.6580,-0.0196,-0.0554
0.6630,-0.0188,-0.0550
0.6680,-0.0179,-0.0547
0.6730,-0.0170,-0.0543
0.6780,-0.0160,-0.0539
0.6830,-0.0150,-0.0535
0.6880,-0.0140,-0.0531
0.6930,-0.0129,-0.0528
0.6980,-0.0119,-0.0524
0.7040,-0.0107,-0.0520
0.7090,-0.0096,-0.0516
0.7140,-0.0084,-0.0512
0.7190,-0.0072,-0.0508
0.7240,-0.0059,-0.0505
0.7290,-0.0047,-0.0501
0.7340,-0.0034,-0.0497
0.7390,-0.0021,-0.0493
0.7440,-0.0007,-0.0489
0.7490,0.0007,-0.0485
0.7540,0.0020,-0.0482
0.7590,0.0034,-0.0478
0.7640,0.0048,-0.0474
0.7690,0.0062,-0.0470
0.7740,0.0076,-0.0466
0.7790,0.0090,-0.0463
0.7840,0.0104,-0.0459
0.7890,0.0118,-0.0455
0.7940,0.0132,-0.0451
0.7990,0.0146,-0.0447
0.8040,0.0160,-0.0444
0.8090,0.0173,-0.0440
0.8140,0.0186,-0.0437
0.8190,0.0199,-0.0433
0.8240,0.0212,-0.0430
0.8290,0.0225,-0.0427
0.8340,0.0237,-0.0424
0.8390,0.0249,-0.0422
0.8440,0.0260,-0.0420
0.8490,0.0271,-0.0418
0.8540,0.0281,-0.0416
0.8590,0.0291,-0.0415
0.8640,0.0301,-0.0414
0.8690,0.0311,-0.0413
0.8740,0.0319,-0.0413
0.8790,0.0327,-0.0413
0.8840,0.0335,-0.0414
0.8890,0.0342,-0.0415
0.8940,0.0349,-0.0415
0.8990,0.0356,-0.0417
0.9050,0.0362,-0.0418
0.9100,0.0367,-0.0420
0.9150,0.0371,-0.0422
0.9200,0.0375,-0.0424
0.9250,0.0379,-0.0426
0.9300,0.0383,-0.0428
0.9350,0.0387,-0.0430
0.9400,0.0389,-0.0433
0.9450,0.0391,-0.0436
0.9500,0.0393,-0.0439
0.9550,0.0395,-0.0443
0.9600,0.0397,-0.0446
0.9650,0.0399,-0.0450
0.9700,0.0400,-0.0452
0.9750,0.0400,-0.0451
0.9800,0.0400,-0.0451
0.9850,0.0400,-0.0451
0.9900,0.0400,-0.0451
0.9950,0.0400,-0.0451
1.0000,0.0400,-0.0451
