Phase,Y_mean,Z_mean
0.0000,0.0224,-0.0597
0.0050,0.0222,-0.0598
0.0100,0.0220,-0.0598
0.0150,0.0218,-0.0599
0.0200,0.0216,-0.0600
0.0250,0.0214,-0.0601
0.0300,0.0212,-0.0602
0.0350,0.0209,-0.0602
0.0400,0.0205,-0.0602
0.0450,0.0201,-0.0602
0.0500,0.0197,-0.0601
0.0550,0.0193,-0.0601
0.0600,0.0189,-0.0601
0.0650,0.0184,-0.0601
0.0700,0.0178,-0.0600
0.0750,0.0172,-0.0599
0.0800,0.0166,-0.0598
0.0850,0.0160,-0.0597
0.0900,0.0154,-0.0596
0.0950,0.0148,-0.0595
0.1010,0.0141,-0.0593
0.1060,0.0135,-0.0592
0.1110,0.0128,-0.0590
0.1160,0.0121,-0.0588
0.1210,0.0114,-0.0586
0.1260,0.0107,-0.0584
0.1310,0.0100,-0.0582
0.1360,0.0093,-0.0580
0.1410,0.0086,-0.0578
0.1460,0.0079,-0.0576
0.1510,0.0073,-0.0574
0.1560,0.0066,-0.0572
0.1610,0.0059,-0.0570
0.1660,0.0052,-0.0568
0.1710,0.0046,-0.0567
0.1760,0.0039,-0.0565
0.1810,0.0032,-0.0563
0.1860,0.0025,-0.0561
0.1910,0.0019,-0.0560
0.1960,0.0012,-0.0558
0.2010,0.0005,-0.0557
0.2060,-0.0002,-0.0555
0.2110,-0.0008,-0.0554
0.2160,-0.0015,-0.0552
0.2210,-0.0022,-0.0551
0.2260,-0.0029,-0.0550
0.2310,-0.0036,-0.0549
0.2360,-0.0043,-0.0548
0.2410,-0.0050,-0.0547
0.2460,-0.0057,-0.0546
0.2510,-0.0065,-0.0545
0.2560,-0.0072,-0.0544
0.2610,-0.0079,-0.0543
0.2660,-0.0086,-0.0543
0.2710,-0.0094,-0.0542
0.2760,-0.0101,-0.0541
0.2810,-0.0108,-0.0541
0.2860,-0.0116,-0.0541
0.2910,-0.0123,-0.0540
0.2960,-0.0131,-0.0540
0.3020,-0.0138,-0.0539
0.3070,-0.0146,-0.0539
0.3120,-0.0153,-0.0539
0.3170,-0.0161,-0.0539
0.3220,-0.0168,-0.0539
0.3270,-0.0176,-0.0538
0.3320,-0.0183,-0.0538
0.3370,-0.0190,-0.0538
0.3420,-0.0198,-0.0538
0.3470,-0.0205,-0.0537
0.3520,-0.0212,-0.0537
0.3570,-0.0219,-0.0537
0.3620,-0.0226,-0.0536
0.3670,-0.0233,-0.0536
0.3720,-0.0239,-0.0535
0.3770,-0.0246,-0.0534
0.3820,-0.0252,-0.0533
0.3870,-0.0259,-0.0532
0.3920,-0.0265,-0.0531
0.3970,-0.0270,-0.0530
0.4020,-0.0276,-0.0529
0.4070,-0.0281,-0.0528
0.4120,-0.0287,-0.0526
0.4170,-0.0292,-0.0525
0.4220,-0.0296,-0.0523
0.4270,-0.0300,-0.0521
0.4320,-0.0305,-0.0519
0.4370,-0.0308,-0.0517
0.4420,-0.0312,-0.0515
0.4470,-0.0315,-0.0514
0.4520,-0.0318,-0.0511
0.4570,-0.0320,-0.0509
0.4620,-0.0323,-0.0507
0.4670,-0.0325,-0.0505
0.4720,-0.0326,-0.0503
0.4770,-0.0327,-0.0501
0.4820,-0.0328,-0.0498
0.4870,-0.0328,-0.0496
0.4920,-0.0328,-0.0494
0.4970,-0.0328,-0.0492
0.5030,-0.0327,-0.0490
0.5080,-0.0325,-0.0487
0.5130,-0.0324,-0.0485
0.5180,-0.0322,-0.0483
0.5230,-0.0319,-0.0481
0.5280,-0.0317,-0.0479
0.5330,-0.0314,-0.0477
0.5380,-0.0310,-0.0475
0.5430,-0.0306,-0.0473
0.5480,-0.0302,-0.0471
0.5530,-0.0298,-0.0470
0.5580,-0.0293,-0.0468
0.5630,-0.0288,-0.0466
0.5680,-0.0282,-0.0464
0.5730,-0.0277,-0.0463
0.5780,-0.0271,-0.0461
0.5830,-0.0264,-0.0459
0.5880,-0.0258,-0.0458
0.5930,-0.0251,-0.0456
0.5980,-0.0244,-0.0455
0.6030,-0.0237,-0.0454
